SMILES,HLM
C1=Cc2ccccc2NN=C1,27.77165883
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,145.6592377
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,65.63164178
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,145.5950887
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,40.35675555
S=c1[nH]c2ccccc2s1,29.42340044
CC(C)Nc1ccc(Nc2ccccc2)cc1,34.25872583
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,17.08347894
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,-16.20686355
Cc1ccc(-c2ccc(C)cn2)nc1,54.6729282
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,53.03515712
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,47.30500288
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,18.9132975
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,28.88780321
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,30.44247271
CC(=O)NCCCS(=O)(=O)O,-10.96733893
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,35.14086013
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,4.815438866
CC(=O)OC1CN2CCC1CC2,-4.991320213
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,43.69613191
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,27.47010777
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,42.28930134
CC(=O)Nc1ccc(O)cc1,-4.322626494
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,-16.76703566
CC(=O)Nc1nnc(S(N)(=O)=O)s1,3.010369538
CC(=O)O,-7.913369027
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-5.925889022
CC(=O)NO,-26.86415012
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,44.84890758
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,6.247020742
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,-5.767468318
CC(=O)OCC[N+](C)(C)C,6.74424534
CC(=O)N[C@@H](CS)C(=O)O,-19.11684594
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,34.07039276
C#C,9.485115583
CC(=O)Oc1ccccc1C(=O)O,29.6981055
Cc1cnc(C(=O)O)c[n+]1[O-],22.9467707
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,36.86604612
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,101.0503629
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,-0.515314687
[C],26.71546075
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-22.6449855
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,63.77508967
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,50.83040703
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,110.3460766
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,-16.92661437
Nc1ncnc2nc[nH]c12,-4.467235397
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.58957878
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,1.334942453
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,54.87477867
