SMILES,LogD
C1=Cc2ccccc2NN=C1,1.773755311
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,3.622355243
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,2.351277562
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,4.497808668
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,3.862955011
S=c1[nH]c2ccccc2s1,2.503863951
CC(C)Nc1ccc(Nc2ccccc2)cc1,3.06991897
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,1.131505403
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,1.78944627
Cc1ccc(-c2ccc(C)cn2)nc1,2.284438347
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,1.994395146
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,3.698437023
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,3.832551567
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,1.538437995
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,2.572366577
CC(=O)NCCCS(=O)(=O)O,-0.871661731
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,-0.501767176
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,-0.137000105
CC(=O)OC1CN2CCC1CC2,-1.161345712
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.450798977
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-0.139299323
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,1.778662118
CC(=O)Nc1ccc(O)cc1,0.612117418
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0.291343105
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.514160687
CC(=O)O,-2.550209265
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0.077897275
CC(=O)NO,-0.822746821
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,2.681470077
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-0.526316169
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,-4.55707711
CC(=O)OCC[N+](C)(C)C,-1.903602263
CC(=O)N[C@@H](CS)C(=O)O,-2.906613473
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,2.464173439
C#C,2.386902463
CC(=O)Oc1ccccc1C(=O)O,-1.628006272
Cc1cnc(C(=O)O)c[n+]1[O-],-1.742417985
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,1.754529933
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,2.000738237
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,0.824152302
[C],3.010568194
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-0.961045093
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,3.759395711
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,3.325004319
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,2.095441306
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,-2.187388613
Nc1ncnc2nc[nH]c12,0.149878221
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.922427817
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,0.110756261
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,2.322099131
CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C,-0.748593281
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,3.359662523
COc1ccc2cccc(CCNC(C)=O)c2c1,2.264806521
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,1.184930218
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,0.039485886
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,3.132795093
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,1.645301942
C=CCOc1ccc(CC(=O)O)cc1Cl,0.000729006
C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,2.400911161
NC(=O)NC1NC(=O)[N-]C1=O.[Al+3].[Al+3].[Cl-].[OH-].[OH-].[OH-].[OH-],0.006944076
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,3.868206376
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1.10333929
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,4.221480343
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0.684423489
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,2.186171548
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,2.603120101
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,1.635417404
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,2.177267195
NC(=O)NC1NC(=O)NC1=O,-0.728540845
O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,0.209187658
Oc1ncnc2[nH]ncc12,-0.87341809
O.[Al+3].[Al+3].[Mg+2].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],0.772120525
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,4.180763552
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,0.972604633
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,0.023740084
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,1.18629248
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,3.188230654
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.456619991
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0.924098122
CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.252143409
[Al],2.763385179
O=P([O-])([O-])[O-].[Al+3],1.67603683
CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3],-2.196613344
Cl[Al](Cl)Cl,2.774844244
O.[Al+3].[Al+3].[Cl-].[OH-].[OH-].[OH-].[OH-].[OH-],1.007271661
[Al+3].[OH-].[OH-].[OH-],1.094467185
[Al+3].[Al+3].[O-2].[O-2].[O-2],2.524321831
CC(=O)O[Al](O)OC(C)=O,0.500831174
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3],-0.353226023
NCC(=O)[O-].O.O.[Al+3].[Cl-].[Zr+4],-0.920215857
CCN(CCCc1ccccc1)CCCc1ccccc1,2.905556264
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,1.174896762
NC12CC3CC(CC(C3)C1)C2,-0.674197027
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,1.899832774
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,-0.161952331
Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,1.603694976
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,2.981745575
Nc1ccncc1N,-1.040249812
NCCCNCCSP(=O)(O)O,0.051822323
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,-1.807717224
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,-0.579195331
COc1ccc(/C=C/C(=O)OCCC(C)C)cc1,3.57688588
Nc1ccc(C(=O)O)cc1,-0.731565308
NCCCCCC(=O)O,-2.562003636
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0.791274803
Nc1ccc(C(=O)NCC(=O)O)cc1,-2.166544116
NCC(=O)CCC(=O)O,-2.772292389
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,0.935286434
Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,-0.427455706
Nc1ccc(C(=O)O)c(O)c1,-0.694042567
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,4.481798494
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,-0.442132697
CN(C)CCC=C1c2ccccc2CCc2ccccc21,2.790467834
C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,1.690625707
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,0.71390906
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2.530491906
[13NH3],-1.821258788
O=C([O-])[O-].[NH4+].[NH4+],-2.480728806
[Cl-].[NH4+],-0.783171269
CC(O)C(=O)[O-].[NH4+],-3.966343826
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1.509610245
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,2.578822056
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,3.460476694
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,2.173442355
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-0.922386506
CC(N)Cc1ccccc1,-0.088071804
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,-1.024589493
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-1.255295849
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,2.78750465
Nc1cc(-c2ccncc2)c[nH]c1=O,0.595451529
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,2.733726312
CCCCCON=O,2.492524214
CCCCCc1ccc(C)cc1O,3.996136887
CCC(C)(CN(C)C)OC(=O)c1ccccc1,0.939077689
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,1.698307667
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,1.825232113
C/C=C/c1ccc(OC)cc1,2.719747248
COc1ccc(-c2cc(=S)ss2)cc1,3.292613034
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,1.511465288
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,2.313715249
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,2.311699458
CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-],0.242042808
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,1.591086217
O=C1c2c(O)cccc2Cc2cccc(O)c21,2.484696582
Cc1cc(=O)n(-c2ccccc2)n1C,0.719239073
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,4.122542963
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,2.953372804
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,2.034442197
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,1.801715046
Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,0.825561281
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,1.339824232
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.213072665
C=CCC(C(=O)NC(N)=O)C(C)C,1.593099681
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,0.369673166
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,-0.70273513
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,0.135969876
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,-1.662618984
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,3.369299054
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,4.585032602
NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1,1.496266483
O=[As]O[As]=O,1.051240425
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,2.453659371
CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,2.863718265
C[C@@H]1CC[C@H]2[C@@H](C)C(O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,1.928179743
C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,-0.193603946
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,1.496276514
COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,3.58169425
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,3.155721308
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,-1.155108155
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,3.444446855
NC(=O)C[C@H](N)C(=O)O,-2.163096245
N[C@@H](CC(=O)O)C(=O)O,-1.892489063
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,3.771763357
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,2.89319205
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,0.247600366
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,3.264399504
