SMILES,MLM
COc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4ccccc4)CC3)cc2)cc1,50000
Cc1ccc(S(=O)(=O)Nc2ccc(CN[C@@H]3CCN(C(=O)c4cccc(Cl)c4)C3)cc2)cc1,48000
COc1ccc(S(=O)(=O)Nc2ccc(CN3C[C@@H]4C[C@H]3CN4C(=O)c3cccc(Cl)c3)cc2)cc1,50000
O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccccc3)cc2)CC1,50000
O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)c3ccc4c(c3)OCO4)cc2)CC1,50000
COc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4cccc(F)c4)CC3)cc2)cc1,50000
COc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4ccnc(C)n4)CC3)cc2)cc1,12000
COc1ccc(S(=O)(=O)Nc2ncc(CN3CCN(C(=O)c4cccc(Cl)c4)CC3)cn2)cc1,1000
COc1ccc(S(=O)(=O)Nc2ncc(CN3CCN(C(=O)c4cccc(Cl)c4)CC3)nc2OC)cc1,1200
O=C(c1cccc(Cl)c1)N1CCN(Cc2ccc(NS(=O)(=O)CC3CCCO3)cc2)CC1,44000
CC#CC(=O)N1CCN(Cc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2)CC1,50000
Cc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4cc(=O)c5ccccc5n4C)CC3)cc2)cc1,50000
Cc1ccc(S(=O)(=O)Nc2ccc(CN3CCC(NC(=O)c4cccc(Cl)c4)CC3)cc2)cc1,37000
CS(=O)(=O)Nc1ccc(CN2CCN(C(=O)c3cccc(Cl)c3)CC2)cc1,2600
COc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4cccc(Cl)c4)CC3)cc2)cc1,50000
Cc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)Cc4coc5ccccc45)CC3)cc2)cc1,50000
COc1ccc(S(=O)(=O)Nc2cnc(CN3CCN(C(=O)c4cccc(Cl)c4)CC3)nc2)cc1,1500
CN1CCN(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4cccc(Cl)c4)CC3)cc2)CC1,32000
